"story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","rating","model","uncertainty","entailmentType"
"story1","B",TRUE,"A",TRUE,0.423,"cf","state_only","none"
"story1","A",TRUE,"B",TRUE,0.423,"cf","state_only","none"
"story1","B",TRUE,"B",TRUE,1,"cf","state_only","none"
"story1","A",TRUE,"A",TRUE,1,"cf","state_only","none"
"story4","A",FALSE,"C",FALSE,1,"cf","state_only","none"
"story4","C",FALSE,"B",FALSE,0.634115409004439,"cf","state_only","none"
"story4","D",FALSE,"A",FALSE,0.634115409004439,"cf","state_only","none"
"story4","D",FALSE,"C",FALSE,1,"cf","state_only","none"
"story4","D",FALSE,"B",FALSE,0.634115409004439,"cf","state_only","none"
"story4","B",FALSE,"B",FALSE,1,"cf","state_only","none"
"story4","A",FALSE,"B",FALSE,0.423,"cf","state_only","none"
"story4","B",FALSE,"C",FALSE,1,"cf","state_only","none"
"story4","C",FALSE,"C",FALSE,1,"cf","state_only","none"
"story4","A",FALSE,"A",FALSE,1,"cf","state_only","none"
"story4","D",FALSE,"D",FALSE,1,"cf","state_only","none"
"story4","A",FALSE,"D",FALSE,1,"cf","state_only","none"
"story4","C",FALSE,"A",FALSE,0.634115409004439,"cf","state_only","none"
"story4","B",FALSE,"A",FALSE,0.423,"cf","state_only","none"
"story4","C",FALSE,"D",FALSE,1,"cf","state_only","none"
"story4","B",FALSE,"D",FALSE,1,"cf","state_only","none"
"story6","B",FALSE,"A",FALSE,0.729709035222052,"cf","state_only","none"
"story6","A",FALSE,"A",FALSE,1,"cf","state_only","none"
"story6","B",FALSE,"B",FALSE,1,"cf","state_only","none"
"story6","B",FALSE,"C",TRUE,0.577,"cf","state_only","none"
"story6","A",FALSE,"B",FALSE,0.953000000000001,"cf","state_only","none"
"story6","C",TRUE,"B",FALSE,0.198247150053511,"cf","state_only","none"
"story6","A",FALSE,"C",TRUE,0.569762,"cf","state_only","none"
"story6","C",TRUE,"C",TRUE,1,"cf","state_only","none"
"story6","C",TRUE,"A",FALSE,0.149893031640115,"cf","state_only","none"
"story3","A",TRUE,"C",FALSE,0.577,"cf","state_only","none"
"story3","B",TRUE,"A",TRUE,0.3525,"cf","state_only","none"
"story3","C",FALSE,"A",TRUE,0.426144756277696,"cf","state_only","none"
"story3","A",TRUE,"A",TRUE,1,"cf","state_only","none"
"story3","A",TRUE,"B",TRUE,0.423,"cf","state_only","none"
"story3","C",FALSE,"C",FALSE,1,"cf","state_only","none"
"story3","B",TRUE,"C",FALSE,0.6475,"cf","state_only","none"
"story3","B",TRUE,"B",TRUE,1,"cf","state_only","none"
"story3","C",FALSE,"B",TRUE,0.573855243722305,"cf","state_only","none"
"story2","C",TRUE,"A",TRUE,0.768212641259101,"cf","state_only","none"
"story2","B",TRUE,"B",TRUE,1,"cf","state_only","none"
"story2","B",TRUE,"C",TRUE,1,"cf","state_only","none"
"story2","B",TRUE,"A",TRUE,0.861862580799617,"cf","state_only","none"
"story2","A",TRUE,"C",TRUE,1,"cf","state_only","none"
"story2","A",TRUE,"A",TRUE,1,"cf","state_only","none"
"story2","A",TRUE,"B",TRUE,1,"cf","state_only","none"
"story2","C",TRUE,"C",TRUE,1,"cf","state_only","none"
"story2","C",TRUE,"B",TRUE,0.891340056260906,"cf","state_only","none"
"story5","D",TRUE,"D",TRUE,1,"cf","state_only","none"
"story5","C",TRUE,"B",TRUE,0.571081409477521,"cf","state_only","none"
"story5","C",TRUE,"D",TRUE,1,"cf","state_only","none"
"story5","B",TRUE,"D",TRUE,0.1175,"cf","state_only","none"
"story5","A",TRUE,"C",TRUE,0.20575,"cf","state_only","none"
"story5","C",TRUE,"C",TRUE,1,"cf","state_only","none"
"story5","B",TRUE,"B",TRUE,1,"cf","state_only","none"
"story5","A",TRUE,"D",TRUE,0.20575,"cf","state_only","none"
"story5","C",TRUE,"A",TRUE,1,"cf","state_only","none"
"story5","D",TRUE,"A",TRUE,1,"cf","state_only","none"
"story5","D",TRUE,"B",TRUE,0.571081409477521,"cf","state_only","none"
"story5","A",TRUE,"A",TRUE,1,"cf","state_only","none"
"story5","B",TRUE,"A",TRUE,0.1175,"cf","state_only","none"
"story5","A",TRUE,"B",TRUE,0.1175,"cf","state_only","none"
"story5","D",TRUE,"C",TRUE,1,"cf","state_only","none"
"story5","B",TRUE,"C",TRUE,0.1175,"cf","state_only","none"
