"story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","rating","model","uncertainty","entailmentType"
"story1","B",TRUE,"A",TRUE,0.558595,"cf","causal","none"
"story1","A",TRUE,"B",TRUE,0.558595,"cf","causal","none"
"story1","B",TRUE,"B",TRUE,1,"cf","causal","none"
"story1","A",TRUE,"A",TRUE,1,"cf","causal","none"
"story4","A",FALSE,"C",FALSE,0.765,"cf","causal","none"
"story4","C",FALSE,"B",FALSE,0.599696129817782,"cf","causal","none"
"story4","D",FALSE,"A",FALSE,0.599696129817782,"cf","causal","none"
"story4","D",FALSE,"C",FALSE,1,"cf","causal","none"
"story4","D",FALSE,"B",FALSE,0.599696129817782,"cf","causal","none"
"story4","B",FALSE,"B",FALSE,1,"cf","causal","none"
"story4","A",FALSE,"B",FALSE,0.423,"cf","causal","none"
"story4","B",FALSE,"C",FALSE,0.765,"cf","causal","none"
"story4","C",FALSE,"C",FALSE,1,"cf","causal","none"
"story4","A",FALSE,"A",FALSE,1,"cf","causal","none"
"story4","D",FALSE,"D",FALSE,1,"cf","causal","none"
"story4","A",FALSE,"D",FALSE,0.765,"cf","causal","none"
"story4","C",FALSE,"A",FALSE,0.599696129817782,"cf","causal","none"
"story4","B",FALSE,"A",FALSE,0.423,"cf","causal","none"
"story4","C",FALSE,"D",FALSE,0.765,"cf","causal","none"
"story4","B",FALSE,"D",FALSE,0.765,"cf","causal","none"
"story6","B",FALSE,"A",FALSE,0.729709035222052,"cf","causal","none"
"story6","A",FALSE,"A",FALSE,1,"cf","causal","none"
"story6","B",FALSE,"B",FALSE,0.999999999999999,"cf","causal","none"
"story6","B",FALSE,"C",TRUE,0.441405,"cf","causal","none"
"story6","A",FALSE,"B",FALSE,0.729045,"cf","causal","none"
"story6","C",TRUE,"B",FALSE,0.153568580474392,"cf","causal","none"
"story6","A",FALSE,"C",TRUE,0.43586793,"cf","causal","none"
"story6","C",TRUE,"C",TRUE,1,"cf","causal","none"
"story6","C",TRUE,"A",FALSE,0.14259267792698,"cf","causal","none"
"story3","A",TRUE,"C",FALSE,0.577,"cf","causal","none"
"story3","B",TRUE,"A",TRUE,0.3525,"cf","causal","none"
"story3","C",FALSE,"A",TRUE,0.406201674085929,"cf","causal","none"
"story3","A",TRUE,"A",TRUE,1,"cf","causal","none"
"story3","A",TRUE,"B",TRUE,0.423,"cf","causal","none"
"story3","C",FALSE,"C",FALSE,1,"cf","causal","none"
"story3","B",TRUE,"C",FALSE,0.4953375,"cf","causal","none"
"story3","B",TRUE,"B",TRUE,1,"cf","causal","none"
"story3","C",FALSE,"B",TRUE,0.418454603266979,"cf","causal","none"
"story2","C",TRUE,"A",TRUE,0.644590064253386,"cf","causal","none"
"story2","B",TRUE,"B",TRUE,1,"cf","causal","none"
"story2","B",TRUE,"C",TRUE,0.765,"cf","causal","none"
"story2","B",TRUE,"A",TRUE,0.692919993725224,"cf","causal","none"
"story2","A",TRUE,"C",TRUE,0.765,"cf","causal","none"
"story2","A",TRUE,"A",TRUE,1,"cf","causal","none"
"story2","A",TRUE,"B",TRUE,1,"cf","causal","none"
"story2","C",TRUE,"C",TRUE,1,"cf","causal","none"
"story2","C",TRUE,"B",TRUE,0.930251789658991,"cf","causal","none"
"story5","D",TRUE,"D",TRUE,1,"cf","causal","none"
"story5","C",TRUE,"B",TRUE,0.299440301479044,"cf","causal","none"
"story5","C",TRUE,"D",TRUE,0.764999999999999,"cf","causal","none"
"story5","B",TRUE,"D",TRUE,0.0898875000000001,"cf","causal","none"
"story5","A",TRUE,"C",TRUE,0.39239875,"cf","causal","none"
"story5","C",TRUE,"C",TRUE,1,"cf","causal","none"
"story5","B",TRUE,"B",TRUE,1,"cf","causal","none"
"story5","A",TRUE,"D",TRUE,0.15739875,"cf","causal","none"
"story5","C",TRUE,"A",TRUE,0.361663652802893,"cf","causal","none"
"story5","D",TRUE,"A",TRUE,0.361663652802893,"cf","causal","none"
"story5","D",TRUE,"B",TRUE,0.299440301479044,"cf","causal","none"
"story5","A",TRUE,"A",TRUE,1,"cf","causal","none"
"story5","B",TRUE,"A",TRUE,0.1175,"cf","causal","none"
"story5","A",TRUE,"B",TRUE,0.1175,"cf","causal","none"
"story5","D",TRUE,"C",TRUE,1,"cf","causal","none"
"story5","B",TRUE,"C",TRUE,0.3248875,"cf","causal","none"
