"story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","rating","model","uncertainty","entailmentType"
"story1","B",TRUE,"A",TRUE,0.165149637379935,"rsa","state_only","none"
"story1","A",TRUE,"B",TRUE,0.165149637379935,"rsa","state_only","none"
"story1","B",TRUE,"B",TRUE,0.5,"rsa","state_only","none"
"story1","A",TRUE,"A",TRUE,0.5,"rsa","state_only","none"
"story4","A",FALSE,"C",FALSE,0.5,"rsa","state_only","none"
"story4","C",FALSE,"B",FALSE,0.30702202000422,"rsa","state_only","none"
"story4","D",FALSE,"A",FALSE,0.30702202000422,"rsa","state_only","none"
"story4","D",FALSE,"C",FALSE,0.5,"rsa","state_only","none"
"story4","D",FALSE,"B",FALSE,0.30702202000422,"rsa","state_only","none"
"story4","B",FALSE,"B",FALSE,0.5,"rsa","state_only","none"
"story4","A",FALSE,"B",FALSE,0.165350754153181,"rsa","state_only","none"
"story4","B",FALSE,"C",FALSE,0.5,"rsa","state_only","none"
"story4","C",FALSE,"C",FALSE,0.5,"rsa","state_only","none"
"story4","A",FALSE,"A",FALSE,0.5,"rsa","state_only","none"
"story4","D",FALSE,"D",FALSE,0.5,"rsa","state_only","none"
"story4","A",FALSE,"D",FALSE,0.5,"rsa","state_only","none"
"story4","C",FALSE,"A",FALSE,0.30702202000422,"rsa","state_only","none"
"story4","B",FALSE,"A",FALSE,0.165350754153181,"rsa","state_only","none"
"story4","C",FALSE,"D",FALSE,0.5,"rsa","state_only","none"
"story4","B",FALSE,"D",FALSE,0.5,"rsa","state_only","none"
"story6","B",FALSE,"A",FALSE,0.487186023928979,"rsa","state_only","none"
"story6","A",FALSE,"A",FALSE,0.5,"rsa","state_only","none"
"story6","B",FALSE,"B",FALSE,0.5,"rsa","state_only","none"
"story6","B",FALSE,"C",TRUE,0.98100120803596,"rsa","state_only","none"
"story6","A",FALSE,"B",FALSE,0.502534806691704,"rsa","state_only","none"
"story6","C",TRUE,"B",FALSE,0.960541827687867,"rsa","state_only","none"
"story6","A",FALSE,"C",TRUE,0.953310237235625,"rsa","state_only","none"
"story6","C",TRUE,"C",TRUE,0.5,"rsa","state_only","none"
"story6","C",TRUE,"A",FALSE,0.870913901196128,"rsa","state_only","none"
"story3","A",TRUE,"C",FALSE,0.988235399839709,"rsa","state_only","none"
"story3","B",TRUE,"A",TRUE,0.145716255633587,"rsa","state_only","none"
"story3","C",FALSE,"A",TRUE,0.717915594496337,"rsa","state_only","none"
"story3","A",TRUE,"A",TRUE,0.5,"rsa","state_only","none"
"story3","A",TRUE,"B",TRUE,0.165174991854488,"rsa","state_only","none"
"story3","C",FALSE,"C",FALSE,0.5,"rsa","state_only","none"
"story3","B",TRUE,"C",FALSE,0.903099064348319,"rsa","state_only","none"
"story3","B",TRUE,"B",TRUE,0.5,"rsa","state_only","none"
"story3","C",FALSE,"B",TRUE,0.36961186319066,"rsa","state_only","none"
"story2","C",TRUE,"A",TRUE,0.380883430398132,"rsa","state_only","none"
"story2","B",TRUE,"B",TRUE,0.5,"rsa","state_only","none"
"story2","B",TRUE,"C",TRUE,0.5,"rsa","state_only","none"
"story2","B",TRUE,"A",TRUE,0.432032732195891,"rsa","state_only","none"
"story2","A",TRUE,"C",TRUE,0.5,"rsa","state_only","none"
"story2","A",TRUE,"A",TRUE,0.5,"rsa","state_only","none"
"story2","A",TRUE,"B",TRUE,0.5,"rsa","state_only","none"
"story2","C",TRUE,"C",TRUE,0.5,"rsa","state_only","none"
"story2","C",TRUE,"B",TRUE,0.447134357663703,"rsa","state_only","none"
"story5","D",TRUE,"D",TRUE,0.5,"rsa","state_only","none"
"story5","C",TRUE,"B",TRUE,0.499913134451816,"rsa","state_only","none"
"story5","C",TRUE,"D",TRUE,0.5,"rsa","state_only","none"
"story5","B",TRUE,"D",TRUE,0.234337589219582,"rsa","state_only","none"
"story5","A",TRUE,"C",TRUE,0.216210392787844,"rsa","state_only","none"
"story5","C",TRUE,"C",TRUE,0.5,"rsa","state_only","none"
"story5","B",TRUE,"B",TRUE,0.5,"rsa","state_only","none"
"story5","A",TRUE,"D",TRUE,0.216210392787844,"rsa","state_only","none"
"story5","C",TRUE,"A",TRUE,0.5,"rsa","state_only","none"
"story5","D",TRUE,"A",TRUE,0.5,"rsa","state_only","none"
"story5","D",TRUE,"B",TRUE,0.499913134451816,"rsa","state_only","none"
"story5","A",TRUE,"A",TRUE,0.5,"rsa","state_only","none"
"story5","B",TRUE,"A",TRUE,0.234337589219582,"rsa","state_only","none"
"story5","A",TRUE,"B",TRUE,0.210190953655257,"rsa","state_only","none"
"story5","D",TRUE,"C",TRUE,0.5,"rsa","state_only","none"
"story5","B",TRUE,"C",TRUE,0.234337589219582,"rsa","state_only","none"
