"story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","rating","model","uncertainty","entailmentType"
"story1","B",TRUE,"A",TRUE,0.248343749730706,"rsa","causal","none"
"story1","A",TRUE,"B",TRUE,0.24838080436093,"rsa","causal","none"
"story1","B",TRUE,"B",TRUE,0.5,"rsa","causal","none"
"story1","A",TRUE,"A",TRUE,0.5,"rsa","causal","none"
"story4","A",FALSE,"C",FALSE,0.64870892679088,"rsa","causal","none"
"story4","C",FALSE,"B",FALSE,0.284552957427444,"rsa","causal","none"
"story4","D",FALSE,"A",FALSE,0.284552957427443,"rsa","causal","none"
"story4","D",FALSE,"C",FALSE,0.5,"rsa","causal","none"
"story4","D",FALSE,"B",FALSE,0.284552957427444,"rsa","causal","none"
"story4","B",FALSE,"B",FALSE,0.5,"rsa","causal","none"
"story4","A",FALSE,"B",FALSE,0.165522876973792,"rsa","causal","none"
"story4","B",FALSE,"C",FALSE,0.64870892679088,"rsa","causal","none"
"story4","C",FALSE,"C",FALSE,0.5,"rsa","causal","none"
"story4","A",FALSE,"A",FALSE,0.5,"rsa","causal","none"
"story4","D",FALSE,"D",FALSE,0.5,"rsa","causal","none"
"story4","A",FALSE,"D",FALSE,0.647677563060395,"rsa","causal","none"
"story4","C",FALSE,"A",FALSE,0.284552957427443,"rsa","causal","none"
"story4","B",FALSE,"A",FALSE,0.165522876973792,"rsa","causal","none"
"story4","C",FALSE,"D",FALSE,0.647677563060394,"rsa","causal","none"
"story4","B",FALSE,"D",FALSE,0.647677563060395,"rsa","causal","none"
"story6","B",FALSE,"A",FALSE,0.501622041728595,"rsa","causal","none"
"story6","A",FALSE,"A",FALSE,0.5,"rsa","causal","none"
"story6","B",FALSE,"B",FALSE,0.5,"rsa","causal","none"
"story6","B",FALSE,"C",TRUE,0.968277326675452,"rsa","causal","none"
"story6","A",FALSE,"B",FALSE,0.661152050420727,"rsa","causal","none"
"story6","C",TRUE,"B",FALSE,0.985146332261998,"rsa","causal","none"
"story6","A",FALSE,"C",TRUE,0.952023076354905,"rsa","causal","none"
"story6","C",TRUE,"C",TRUE,0.5,"rsa","causal","none"
"story6","C",TRUE,"A",FALSE,0.473224916816944,"rsa","causal","none"
"story3","A",TRUE,"C",FALSE,0.987892311376605,"rsa","causal","none"
"story3","B",TRUE,"A",TRUE,0.143614624588615,"rsa","causal","none"
"story3","C",FALSE,"A",TRUE,0.441808315182226,"rsa","causal","none"
"story3","A",TRUE,"A",TRUE,0.5,"rsa","causal","none"
"story3","A",TRUE,"B",TRUE,0.165214340779659,"rsa","causal","none"
"story3","C",FALSE,"C",FALSE,0.5,"rsa","causal","none"
"story3","B",TRUE,"C",FALSE,0.960879510292907,"rsa","causal","none"
"story3","B",TRUE,"B",TRUE,0.5,"rsa","causal","none"
"story3","C",FALSE,"B",TRUE,0.358989158640383,"rsa","causal","none"
"story2","C",TRUE,"A",TRUE,0.30862852569625,"rsa","causal","none"
"story2","B",TRUE,"B",TRUE,0.5,"rsa","causal","none"
"story2","B",TRUE,"C",TRUE,0.654536509803703,"rsa","causal","none"
"story2","B",TRUE,"A",TRUE,0.338369961600934,"rsa","causal","none"
"story2","A",TRUE,"C",TRUE,0.654536509803703,"rsa","causal","none"
"story2","A",TRUE,"A",TRUE,0.5,"rsa","causal","none"
"story2","A",TRUE,"B",TRUE,0.5,"rsa","causal","none"
"story2","C",TRUE,"C",TRUE,0.5,"rsa","causal","none"
"story2","C",TRUE,"B",TRUE,0.466056462378203,"rsa","causal","none"
"story5","D",TRUE,"D",TRUE,0.5,"rsa","causal","none"
"story5","C",TRUE,"B",TRUE,0.475572492497965,"rsa","causal","none"
"story5","C",TRUE,"D",TRUE,0.648033888108862,"rsa","causal","none"
"story5","B",TRUE,"D",TRUE,0.356949337636244,"rsa","causal","none"
"story5","A",TRUE,"C",TRUE,0.212743966376423,"rsa","causal","none"
"story5","C",TRUE,"C",TRUE,0.5,"rsa","causal","none"
"story5","B",TRUE,"B",TRUE,0.5,"rsa","causal","none"
"story5","A",TRUE,"D",TRUE,0.340242592978145,"rsa","causal","none"
"story5","C",TRUE,"A",TRUE,0.48943105609149,"rsa","causal","none"
"story5","D",TRUE,"A",TRUE,0.48943105609149,"rsa","causal","none"
"story5","D",TRUE,"B",TRUE,0.475572492497965,"rsa","causal","none"
"story5","A",TRUE,"A",TRUE,0.5,"rsa","causal","none"
"story5","B",TRUE,"A",TRUE,0.199001637764749,"rsa","causal","none"
"story5","A",TRUE,"B",TRUE,0.194038510157398,"rsa","causal","none"
"story5","D",TRUE,"C",TRUE,0.5,"rsa","causal","none"
"story5","B",TRUE,"C",TRUE,0.198804965568219,"rsa","causal","none"
