"story","explanansVariable","explanandumVariable","utterance","explanansValue","explanandumValue","model","low","high","mean_response"
"story1","A","B","B because A",TRUE,TRUE,0.366033089907093,0.08455,0.179141666666667,0.129777777777778
"story1","B","A","A because B",TRUE,TRUE,0.366591859094719,0.106633333333333,0.217013888888889,0.158777777777778
"story2","A","B","B because A",TRUE,TRUE,0.5,0.796325,0.893252777777778,0.846777777777778
"story2","A","C","C because A",TRUE,TRUE,0.607539139275568,0.479327777777778,0.631127777777778,0.555777777777778
"story2","B","A","A because B",TRUE,TRUE,0.419726501471102,0.211886111111111,0.35345,0.281444444444444
"story2","B","C","C because B",TRUE,TRUE,0.607539139275568,0.8573,0.928002777777778,0.892888888888889
"story2","C","A","A because C",TRUE,TRUE,0.403453837220076,0.142197222222222,0.266911111111111,0.201111111111111
"story2","C","B","B because C",TRUE,TRUE,0.483306261550207,0.193988888888889,0.321597222222222,0.258
"story3","A","B","B because A",TRUE,TRUE,0.311907790425863,0.229102777777778,0.365569444444444,0.296
"story3","A","C","! C because A",TRUE,FALSE,0.896199360191108,0.507608333333333,0.656011111111111,0.578777777777778
"story3","B","A","A because B",TRUE,TRUE,0.306128301381271,0.198655555555556,0.315797222222222,0.254111111111111
"story3","B","C","! C because B",TRUE,FALSE,0.837071111906495,0.588319444444444,0.709227777777778,0.649333333333333
"story3","C","A","A because ! C",FALSE,TRUE,0.500682187259967,0.248436111111111,0.381575,0.313555555555556
"story3","C","B","B because ! C",FALSE,TRUE,0.431741950455299,0.326666666666667,0.482558333333333,0.406777777777778
"story4","A","B","! B because ! A",FALSE,FALSE,0.313102780184653,0.151772222222222,0.269683333333333,0.208777777777778
"story4","A","C","! C because ! A",FALSE,FALSE,0.605683452195294,0.640869444444444,0.756161111111111,0.701333333333333
"story4","A","D","! D because ! A",FALSE,FALSE,0.605382524156947,0.493883333333333,0.633175,0.567333333333333
"story4","B","A","! A because ! B",FALSE,FALSE,0.313102780184654,0.131097222222222,0.236136111111111,0.183888888888889
"story4","B","C","! C because ! B",FALSE,FALSE,0.605683452195294,0.648327777777778,0.760113888888889,0.704555555555556
"story4","B","D","! D because ! B",FALSE,FALSE,0.605382524156947,0.472886111111111,0.616738888888889,0.545111111111111
"story4","C","A","! A because ! C",FALSE,FALSE,0.392054472142839,0.172763888888889,0.303780555555556,0.238666666666667
"story4","C","B","! B because ! C",FALSE,FALSE,0.392054472142839,0.180219444444444,0.293902777777778,0.238222222222222
"story4","C","D","! D because ! C",FALSE,FALSE,0.605382524156946,0.814702777777778,0.900558333333333,0.859555555555556
"story4","D","A","! A because ! D",FALSE,FALSE,0.392054472142839,0.106330555555556,0.224897222222222,0.162666666666667
"story4","D","B","! B because ! D",FALSE,FALSE,0.392054472142839,0.136777777777778,0.240225,0.187444444444444
"story4","D","C","! C because ! D",FALSE,FALSE,0.5,0.224444444444444,0.378222222222222,0.301
"story5","A","B","B because A",TRUE,TRUE,0.346444782121959,0.124880555555556,0.237133333333333,0.178444444444444
"story5","A","C","C because A",TRUE,TRUE,0.351482904407508,0.763325,0.866888888888889,0.817888888888889
"story5","A","D","D because A",TRUE,TRUE,0.462159120101242,0.555636111111111,0.692336111111111,0.623
"story5","B","A","A because B",TRUE,TRUE,0.347591829826182,0.132219444444444,0.244555555555556,0.186
"story5","B","C","C because B",TRUE,TRUE,0.344111422674723,0.677997222222222,0.776891666666667,0.726666666666667
"story5","B","D","D because B",TRUE,TRUE,0.470131402527066,0.465880555555556,0.596338888888889,0.530888888888889
"story5","C","A","A because C",TRUE,TRUE,0.498700319395466,0.182111111111111,0.314233333333333,0.245777777777778
"story5","C","B","B because C",TRUE,TRUE,0.493748154941737,0.204436111111111,0.344672222222222,0.276111111111111
"story5","C","D","D because C",TRUE,TRUE,0.605996935012185,0.855327777777778,0.932672222222222,0.895888888888889
"story5","D","A","A because D",TRUE,TRUE,0.498700319395466,0.139769444444444,0.266011111111111,0.203333333333333
"story5","D","B","B because D",TRUE,TRUE,0.493748154941737,0.158966666666667,0.279666666666667,0.219888888888889
"story5","D","C","C because D",TRUE,TRUE,0.5,0.258636111111111,0.409825,0.331555555555556
"story6","A","B","! B because ! A",FALSE,FALSE,0.620054561170218,0.649211111111111,0.771669444444444,0.708444444444444
"story6","A","C","C because ! A",FALSE,TRUE,0.851140176585778,0.302638888888889,0.443452777777778,0.369
"story6","B","A","! A because ! B",FALSE,FALSE,0.501571492172551,0.266222222222222,0.419225,0.343111111111111
"story6","B","C","C because ! B",FALSE,TRUE,0.908600417611317,0.601747222222222,0.72545,0.663666666666667
"story6","C","A","! A because C",TRUE,FALSE,0.491442560246716,0.164766666666667,0.280672222222222,0.222333333333333
"story6","C","B","! B because C",TRUE,FALSE,0.907646268400646,0.297986111111111,0.447369444444444,0.372666666666667
