"","workerid","story_index","story","language","education","assess","OS","Browser","comments","lab_name","mouse_name","age","gender","enjoyment","screenW","screenH","variable","rating","version"
"1",0,3,"story3a","english",2,"Yes","Windows","Chrome","","Ilana","Phroxis",23,"Male",2,1920,1080,"A",0.915,"counterfactual"
"2",0,3,"story3a","english",2,"Yes","Windows","Chrome","","Ilana","Phroxis",23,"Male",2,1920,1080,"B",0.92,"counterfactual"
"3",0,5,"story5","english",2,"Yes","Windows","Chrome","","Nellie","Tondam",23,"Male",2,1920,1080,"D",0.17,"counterfactual"
"4",0,5,"story5","english",2,"Yes","Windows","Chrome","","Nellie","Tondam",23,"Male",2,1920,1080,"C",0.87,"counterfactual"
"5",0,5,"story5","english",2,"Yes","Windows","Chrome","","Nellie","Tondam",23,"Male",2,1920,1080,"A",0.125,"counterfactual"
"6",0,5,"story5","english",2,"Yes","Windows","Chrome","","Nellie","Tondam",23,"Male",2,1920,1080,"B",0.85,"counterfactual"
"7",0,2,"story2","english",2,"Yes","Windows","Chrome","","Harold","Gostak",23,"Male",2,1920,1080,"A",0.84,"counterfactual"
"8",0,2,"story2","english",2,"Yes","Windows","Chrome","","Harold","Gostak",23,"Male",2,1920,1080,"C",0.86,"counterfactual"
"9",0,2,"story2","english",2,"Yes","Windows","Chrome","","Harold","Gostak",23,"Male",2,1920,1080,"B",0.87,"counterfactual"
"10",0,1,"story1","english",2,"Yes","Windows","Chrome","","Ronald","Wrean",23,"Male",2,1920,1080,"A",0.135,"counterfactual"
"11",0,1,"story1","english",2,"Yes","Windows","Chrome","","Ronald","Wrean",23,"Male",2,1920,1080,"B",0.145,"counterfactual"
"12",0,6,"story6","english",2,"Yes","Windows","Chrome","","Frank","Snarp",23,"Male",2,1920,1080,"B",0.8,"counterfactual"
"13",0,6,"story6","english",2,"Yes","Windows","Chrome","","Frank","Snarp",23,"Male",2,1920,1080,"C",0.83,"counterfactual"
"14",0,6,"story6","english",2,"Yes","Windows","Chrome","","Frank","Snarp",23,"Male",2,1920,1080,"A",0.795,"counterfactual"
"15",0,4,"story4","english",2,"Yes","Windows","Chrome","","Fred","Nanber",23,"Male",2,1920,1080,"A",0.8,"counterfactual"
"16",0,4,"story4","english",2,"Yes","Windows","Chrome","","Fred","Nanber",23,"Male",2,1920,1080,"D",0.2,"counterfactual"
"17",0,4,"story4","english",2,"Yes","Windows","Chrome","","Fred","Nanber",23,"Male",2,1920,1080,"C",0.23,"counterfactual"
"18",0,4,"story4","english",2,"Yes","Windows","Chrome","","Fred","Nanber",23,"Male",2,1920,1080,"B",0.2,"counterfactual"
"19",1,2,"story2","English",1,"Yes","Windows","Chrome","","Fred","Nanber",25,"Female",1,1366,768,"B",0.995,"counterfactual"
"20",1,2,"story2","English",1,"Yes","Windows","Chrome","","Fred","Nanber",25,"Female",1,1366,768,"C",0.92,"counterfactual"
"21",1,2,"story2","English",1,"Yes","Windows","Chrome","","Fred","Nanber",25,"Female",1,1366,768,"A",0.13,"counterfactual"
"22",1,6,"story6","English",1,"Yes","Windows","Chrome","","Florence","Tondam",25,"Female",1,1366,768,"A",0.855,"counterfactual"
"23",1,6,"story6","English",1,"Yes","Windows","Chrome","","Florence","Tondam",25,"Female",1,1366,768,"B",0.975,"counterfactual"
"24",1,6,"story6","English",1,"Yes","Windows","Chrome","","Florence","Tondam",25,"Female",1,1366,768,"C",0.885,"counterfactual"
"25",1,1,"story1","English",1,"Yes","Windows","Chrome","","Frank","Gostak",25,"Female",1,1366,768,"B",0.05,"counterfactual"
"26",1,1,"story1","English",1,"Yes","Windows","Chrome","","Frank","Gostak",25,"Female",1,1366,768,"A",0.975,"counterfactual"
"27",1,3,"story3a","English",1,"Yes","Windows","Chrome","","Ronald","Wrean",25,"Female",1,1366,768,"B",0.955,"counterfactual"
"28",1,3,"story3a","English",1,"Yes","Windows","Chrome","","Ronald","Wrean",25,"Female",1,1366,768,"A",0.985,"counterfactual"
"29",1,5,"story5","English",1,"Yes","Windows","Chrome","","Albert","Runcible",25,"Female",1,1366,768,"A",0.28,"counterfactual"
"30",1,5,"story5","English",1,"Yes","Windows","Chrome","","Albert","Runcible",25,"Female",1,1366,768,"C",0.915,"counterfactual"
"31",1,5,"story5","English",1,"Yes","Windows","Chrome","","Albert","Runcible",25,"Female",1,1366,768,"B",0.275,"counterfactual"
