explanandum,video,response,S,NV,V,NC,C,O,P,within.video.events,category,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,screenW,screenH,OS,Browser,time_in_minutes,workerid
the girl took off her glove,alma,she wanted to grab the doll,she,NA,want,NA,grab,doll,NA,yes,mental.state,English,0,Male,43,No,,No,1,1,1510,849,Windows,Chrome,3.2371833333,1
the girl took off her glove,alma,she wanted to feel the doll,she,NA,want,NA,feel,doll,NA,yes,mental.state,English,1,Male,31,Not at all!,Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!,Yes,Seventy cents is perfect,2,1920,1080,Windows,Chrome,3.4896666667,2
the girl took off her glove,alma,Because she wanted to feel what the toy felt like.,she,NA,want,NA,feel,toy,NA,yes,mental.state,English,0,Male,29,No,,Yes,Yes.,1,1920,1080,Windows,Chrome,6.2267833333,3
the girl took off her glove,alma,she wanted to feel the nose with her fingertip,she,NA,want,NA,feel,nose,fingertip,yes,mental.state,english,0,Male,27,everything was fine,thank you! lovely videos,Yes,0.7,3,1920,1080,Windows,Chrome,4.05155,4
the girl took off her glove,alma,to get a better grip,NA,NA,get,NA,NA,grip,NA,yes,mental.state,English,0,Male,30,,,Yes,1,4,1280,800,Windows,Chrome,5.9445333333,5
the girl took off her glove,alma,she wanted to get a better grip on the doll,she,NA,want,NA,NA,grip,NA,yes,mental.state,English,0,Male,29,no,Good quality animations,Yes,$1,3,1920,1080,Windows,Chrome,4.1451833333,6
the girl took off her glove,alma,she was trying to grab something,she,NA,try,NA,grab,something,NA,yes,mental.state,English,0,Female,22,No,,Yes,Yes,1,1920,1080,Windows,Chrome,3.0108333333,7
the girl took off her glove,alma,it its easier to reach,it,NA,easy,NA,reach,NA,NA,yes,lawlike,english,1,Male,24,none,great hit,Yes,yes,1,1920,1080,Windows,Chrome,2.8188833333,8
the girl held her hair above her head,bumpy-ride,she wanted to be taller,she,NA,want,NA,be,tall,NA,no,mental.state,English,0,Male,43,No,,No,1,1,1510,849,Windows,Chrome,3.2371833333,1
the girl held her hair above her head,bumpy-ride,she wanted to look taller to get on the ride,she,NA,want,NA,look,tall,NA,no,mental.state,English,1,Male,31,Not at all!,Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!,Yes,Seventy cents is perfect,2,1920,1080,Windows,Chrome,3.4896666667,2
the girl held her hair above her head,bumpy-ride,she wanted to appear taller so she could go on the ride.,she,NA,want,NA,appear,tall,NA,no,mental.state,English,0,Male,29,No,,Yes,Yes.,1,1920,1080,Windows,Chrome,6.2267833333,3
the girl held her hair above her head,bumpy-ride,she was trying to appear taller in order to get on the rollercoaster,she,NA,want,NA,appear,tall,NA,no,mental.state,english,0,Male,27,everything was fine,thank you! lovely videos,Yes,0.7,3,1920,1080,Windows,Chrome,4.05155,4
the girl held her hair above her head,bumpy-ride,She wanted to be tall enough to ride the ride,she,NA,want,NA,be,tall,NA,no,mental.state,English,0,Male,30,,,Yes,1,4,1280,800,Windows,Chrome,5.9445333333,5
the girl held her hair above her head,bumpy-ride,she was trying to reach the 'you must be this tall' height limit on the ride,she,NA,try,NA,reach,limit,ride,no,mental.state,English,0,Male,29,no,Good quality animations,Yes,$1,3,1920,1080,Windows,Chrome,4.1451833333,6
the girl held her hair above her head,bumpy-ride,she wanted to seem taller than she really was,she,NA,seem,NA,NA,tall,NA,no,mental.state,English,0,Female,22,No,,Yes,Yes,1,1920,1080,Windows,Chrome,3.0108333333,7
the girl held her hair above her head,bumpy-ride,it would make her taller,it,NA,make,NA,her,tall,NA,no,lawlike,english,1,Male,24,none,great hit,Yes,yes,1,1920,1080,Windows,Chrome,2.8188833333,8
the man pulled the carrot out of the ground,carrot-crazy,he wanted to attract the rabbit,he,NA,want,NA,attract,rabbit,NA,no,mental.state,English,0,Male,43,No,,No,1,1,1510,849,Windows,Chrome,3.2371833333,1
