"explanandum","video","response","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","screenW","screenH","OS","Browser","time_in_minutes","workerid"
"the man looked at his time piece","destiny","he was waiting for a bus","English","0","Male","43","No","","No","1.00","1",1510,849,"Windows","Chrome",3.23718333333333,1
"the girl took off her glove","alma","she wanted to grab the doll","English","0","Male","43","No","","No","1.00","1",1510,849,"Windows","Chrome",3.23718333333333,1
"the girl held her hair above her head","bumpy-ride","she wanted to be taller","English","0","Male","43","No","","No","1.00","1",1510,849,"Windows","Chrome",3.23718333333333,1
"the parents hugged the girl","the-gift","they're all a happy family","English","0","Male","43","No","","No","1.00","1",1510,849,"Windows","Chrome",3.23718333333333,1
"the man pulled the carrot out of the ground","carrot-crazy","he wanted to attract the rabbit","English","0","Male","43","No","","No","1.00","1",1510,849,"Windows","Chrome",3.23718333333333,1
"the parents hugged the girl","the-gift","she gave them a nice gift.","","1","Male","20","No","","Yes","yes","-1",1366,768,"Windows","Chrome",5.90591666666667,2
"the girl held her hair above her head","bumpy-ride","she wanted to be tall enough","","1","Male","20","No","","Yes","yes","-1",1366,768,"Windows","Chrome",5.90591666666667,2
"the girl took off her glove","alma","she wanted to grab the doll","","1","Male","20","No","","Yes","yes","-1",1366,768,"Windows","Chrome",5.90591666666667,2
"the man pulled the carrot out of the ground","carrot-crazy","he wanted to catch the rabbit","","1","Male","20","No","","Yes","yes","-1",1366,768,"Windows","Chrome",5.90591666666667,2
"the man looked at his time piece","destiny","he was late for work","","1","Male","20","No","","Yes","yes","-1",1366,768,"Windows","Chrome",5.90591666666667,2
"the man looked at his time piece","destiny","he's worried about getting to work on time","English","1","Male","31","Not at all!","Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!","Yes","Seventy cents is perfect","2",1920,1080,"Windows","Chrome",3.48966666666667,3
"the girl took off her glove","alma","she wanted to feel the doll","English","1","Male","31","Not at all!","Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!","Yes","Seventy cents is perfect","2",1920,1080,"Windows","Chrome",3.48966666666667,3
"the parents hugged the girl","the-gift","they're proud of her","English","1","Male","31","Not at all!","Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!","Yes","Seventy cents is perfect","2",1920,1080,"Windows","Chrome",3.48966666666667,3
"the girl held her hair above her head","bumpy-ride","she wanted to look taller to get on the ride","English","1","Male","31","Not at all!","Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!","Yes","Seventy cents is perfect","2",1920,1080,"Windows","Chrome",3.48966666666667,3
"the man pulled the carrot out of the ground","carrot-crazy","he wanted to show it to the rabbit","English","1","Male","31","Not at all!","Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!","Yes","Seventy cents is perfect","2",1920,1080,"Windows","Chrome",3.48966666666667,3
"the man looked at his time piece","destiny","to see what time it is.","English","0","Male","29","No","","Yes","Yes.","1",1920,1080,"Windows","Chrome",6.22678333333333,4
"the girl took off her glove","alma","Because she wanted to feel what the toy felt like.","English","0","Male","29","No","","Yes","Yes.","1",1920,1080,"Windows","Chrome",6.22678333333333,4
"the parents hugged the girl","the-gift","they were very happy with what she gave them.","English","0","Male","29","No","","Yes","Yes.","1",1920,1080,"Windows","Chrome",6.22678333333333,4
"the man pulled the carrot out of the ground","carrot-crazy","he was trying to lure the rabbit to him.","English","0","Male","29","No","","Yes","Yes.","1",1920,1080,"Windows","Chrome",6.22678333333333,4
