"story","explanation","story_index","lab_name","mouse_name","response","language","enjoyment","gender","age","comments","assess","education","screenW","screenH","OS","Browser","time_in_minutes","workerid"
"story1","A is present because B is present",1,"Ilana","Gostak",0,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story1","B is present because A is present",1,"Ilana","Gostak",0,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story1","B is present because B is present",1,"Ilana","Gostak",1,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story1","A is present because A is present",1,"Ilana","Gostak",1,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","C is absent because A is absent",4,"Albert","Weyland",0.48,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","B is absent because C is absent",4,"Albert","Weyland",0.73,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","A is absent because D is absent",4,"Albert","Weyland",0.73,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","C is absent because D is absent",4,"Albert","Weyland",0.74,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","B is absent because D is absent",4,"Albert","Weyland",0.73,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","B is absent because B is absent",4,"Albert","Weyland",1,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","B is absent because A is absent",4,"Albert","Weyland",0,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","C is absent because B is absent",4,"Albert","Weyland",0.47,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","C is absent because C is absent",4,"Albert","Weyland",0.24,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","A is absent because A is absent",4,"Albert","Weyland",1,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","D is absent because D is absent",4,"Albert","Weyland",0.19,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","D is absent because A is absent",4,"Albert","Weyland",0.47,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","A is absent because C is absent",4,"Albert","Weyland",0.71,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","A is absent because B is absent",4,"Albert","Weyland",0,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","D is absent because C is absent",4,"Albert","Weyland",1,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story4","D is absent because B is absent",4,"Albert","Weyland",0.48,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story6","A is absent because B is absent",6,"Frank","Phroxis",0.48,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story6","A is absent because A is absent",6,"Frank","Phroxis",1,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story6","B is absent because B is absent",6,"Frank","Phroxis",0.34,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
"story6","C is present because B is absent",6,"Frank","Phroxis",0.68,"english","0","Female","28","this was boring.","Yes","3",1280,800,"Mac","Chrome",6.98585,1
