"workerid","story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","response","utterance"
"19","story3","B",TRUE,"A",TRUE,0.23,"A because B"
"19","story3","A",TRUE,"C",FALSE,0.49,"! C because A"
"19","story3","B",TRUE,"C",FALSE,0.47,"! C because B"
"19","story3","A",TRUE,"B",TRUE,0.16,"B because A"
"19","story3","B",TRUE,"B",TRUE,0.99,"B because B"
"19","story3","C",FALSE,"A",TRUE,0.3,"A because ! C"
"19","story3","A",TRUE,"A",TRUE,1,"A because A"
"19","story3","C",FALSE,"B",TRUE,0.26,"B because ! C"
"19","story3","C",FALSE,"C",FALSE,1,"! C because ! C"
"19","story5","B",TRUE,"D",TRUE,1,"D because B"
"19","story5","D",TRUE,"D",TRUE,1,"D because D"
"19","story5","C",TRUE,"B",TRUE,1,"B because C"
"19","story5","A",TRUE,"C",TRUE,1,"C because A"
"19","story5","C",TRUE,"A",TRUE,1,"A because C"
"19","story5","A",TRUE,"D",TRUE,1,"D because A"
"19","story5","B",TRUE,"A",TRUE,1,"A because B"
"19","story5","D",TRUE,"B",TRUE,0.11,"B because D"
"19","story5","C",TRUE,"C",TRUE,0.99,"C because C"
"19","story5","D",TRUE,"A",TRUE,0,"A because D"
"19","story5","A",TRUE,"A",TRUE,1,"A because A"
"19","story5","B",TRUE,"C",TRUE,1,"C because B"
"19","story5","B",TRUE,"B",TRUE,1,"B because B"
"19","story5","D",TRUE,"C",TRUE,0,"C because D"
"19","story5","A",TRUE,"B",TRUE,0,"B because A"
"19","story5","C",TRUE,"D",TRUE,1,"D because C"
"19","story2","C",TRUE,"B",TRUE,0,"B because C"
"19","story2","A",TRUE,"C",TRUE,0.89,"C because A"
"19","story2","A",TRUE,"B",TRUE,1,"B because A"
"19","story2","C",TRUE,"C",TRUE,1,"C because C"
"19","story2","A",TRUE,"A",TRUE,1,"A because A"
"19","story2","C",TRUE,"A",TRUE,0,"A because C"
"19","story2","B",TRUE,"A",TRUE,0,"A because B"
"19","story2","B",TRUE,"B",TRUE,1,"B because B"
"19","story2","B",TRUE,"C",TRUE,1,"C because B"
"19","story1","B",TRUE,"B",TRUE,1,"B because B"
"19","story1","A",TRUE,"A",TRUE,1,"A because A"
"19","story1","A",TRUE,"B",TRUE,0,"B because A"
"19","story1","B",TRUE,"A",TRUE,0,"A because B"
