"story_number","explanansVariable","explanandumVariable","rating"
1,"B","A",0.371669691876078
1,"A","B",0.371669691876078
2,"B","A",0.472240085696242
2,"C","A",0.446283813302782
2,"A","B",0.640287920319725
2,"C","B",0.47765922247866
2,"A","C",0.707915170232184
2,"B","C",0.640287920319726
3,"B","A",0.332593218639431
3,"C","A",0.676324764408509
3,"A","B",0.324230559051052
3,"C","B",0.454734863991077
3,"A","C",0.942250738592309
3,"B","C",0.859484946689409
4,"B","A",0.324230559051052
4,"C","A",0.403406122033617
4,"D","A",0.403406122033617
4,"A","B",0.324230559051052
4,"C","B",0.403406122033617
4,"D","B",0.403406122033617
4,"A","C",0.477903463099577
4,"B","C",0.477903463099577
4,"D","C",0.5
4,"A","D",0.61949210042209
4,"B","D",0.61949210042209
4,"C","D",0.640287920319725
5,"B","A",0.393434550677062
5,"C","A",0.530198914127106
5,"D","A",0.530198914127106
5,"A","B",0.393434550677062
5,"C","B",0.526523612296861
5,"D","B",0.526523612296861
5,"A","C",0.383434520795229
5,"B","C",0.393434550677062
5,"D","C",0.5
5,"A","D",0.51787491648621
5,"B","D",0.526060918334369
5,"C","D",0.640287920319725
6,"B","A",0.514673551544934
6,"C","A",0.536079076733768
6,"A","B",0.657439122358687
6,"C","B",0.875798557147626
6,"A","C",0.655908270607366
6,"B","C",0.942250738592309
