"story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","utterance","rating"
"story5","D",TRUE,"C",TRUE,"C because D",0.499659256327367
"story5","C",TRUE,"A",TRUE,"A because C",0.495480238789508
"story5","B",TRUE,"C",TRUE,"C because B",0.377439993211026
"story5","A",TRUE,"B",TRUE,"B because A",0.34598555531062
"story2","C",TRUE,"B",TRUE,"B because C",0.451177113655057
"story2","A",TRUE,"B",TRUE,"B because A",0.607081912704836
"story2","B",TRUE,"A",TRUE,"A because B",0.448699856583725
"story2","C",TRUE,"A",TRUE,"A because C",0.430079882810103
"story2","B",TRUE,"C",TRUE,"C because B",0.603054008713213
"story2","A",TRUE,"C",TRUE,"C because A",0.652145441616342
"story6","B",FALSE,"A",FALSE,"! A because ! B",0.48987114070671
"story5","C",TRUE,"D",TRUE,"D because C",0.601728498480494
"story6","A",FALSE,"C",TRUE,"C because ! A",0.599534026578867
"story6","C",TRUE,"A",FALSE,"! A because C",0.494317496204375
"story6","A",FALSE,"B",FALSE,"! B because ! A",0.65691295415999
"story6","B",FALSE,"C",TRUE,"C because ! B",0.915836399682758
"story6","C",TRUE,"B",FALSE,"! B because C",0.803808844891863
"story4","B",FALSE,"D",FALSE,"! D because ! B",0.544311771568238
"story4","C",FALSE,"B",FALSE,"! B because ! C",0.405376200807682
"story4","C",FALSE,"D",FALSE,"! D because ! C",0.628211676690673
"story4","B",FALSE,"C",FALSE,"! C because ! B",0.456327791361265
"story4","A",FALSE,"C",FALSE,"! C because ! A",0.477252961222958
"story5","D",TRUE,"A",TRUE,"A because D",0.495992701865837
"story4","D",FALSE,"B",FALSE,"! B because ! D",0.451534351044047
"story4","A",FALSE,"B",FALSE,"! B because ! A",0.30915505974486
"story4","A",FALSE,"D",FALSE,"! D because ! A",0.497349288304575
"story4","B",FALSE,"A",FALSE,"! A because ! B",0.384893020348848
"story4","D",FALSE,"A",FALSE,"! A because ! D",0.376748585588478
"story4","D",FALSE,"C",FALSE,"! C because ! D",0.564280629885032
"story4","C",FALSE,"A",FALSE,"! A because ! C",0.418294564619984
"story3","B",TRUE,"C",FALSE,"! C because B",0.833430846104096
"story3","C",FALSE,"A",TRUE,"A because ! C",0.619569694380226
"story3","B",TRUE,"A",TRUE,"A because B",0.322923136957195
"story5","B",TRUE,"A",TRUE,"A because B",0.359232452781536
"story3","C",FALSE,"B",TRUE,"B because ! C",0.430899825242189
"story3","A",TRUE,"B",TRUE,"B because A",0.318385323545265
"story3","A",TRUE,"C",FALSE,"! C because A",0.934365036299739
"story1","B",TRUE,"A",TRUE,"A because B",0.421210544925472
"story1","A",TRUE,"B",TRUE,"B because A",0.378537756535651
"story5","C",TRUE,"B",TRUE,"B because C",0.492689543541063
"story5","B",TRUE,"D",TRUE,"D because B",0.486267999938742
"story5","A",TRUE,"D",TRUE,"D because A",0.491749571893014
"story5","D",TRUE,"B",TRUE,"B because D",0.495587006770359
"story5","A",TRUE,"C",TRUE,"C because A",0.37272366560848
