"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0234722605651535
2,"> > .","A because B",0.0422227065393261
2,"< > .","A because B",0.0543385843670107
2,". > .","B because A",0.0234722605651532
2,"> > .","B because A",0.0543876021280091
2,"< > .","B because A",0.0421846525995154
2,"> . .","C because B",0.0211483656425601
2,"> > .","C because B",0.049674647075854
2,"> < .","C because B",0.0443431978825474
2,"> . .","B because C",0.0287139922227873
2,"> > .","B because C",0.0425330168351956
2,"> < .","B because C",0.0288217376800434
2,"> > .","C because A",0.0520089138370943
2,". . .","C because A",0.0241965288735411
2,". > .","C because A",0.0287802803495418
2,"> . .","C because A",0.0224686563291054
2,"> . <","C because A",0.04040020169223
2,". > <","C because A",0.0430670569012712
2,". . <","C because A",0.045115767144016
2,". > >","C because A",0.02898017365868
2,"> . >","C because A",0.0521469170575363
2,". . >","C because A",0.0581388149543581
2,"> > .","A because C",0.0334451696295363
2,". . .","A because C",0.0243385222507588
2,". > .","A because C",0.0220604359088558
2,"> . .","A because C",0.022600509968544
2,"> . <","A because C",0.0523453988934538
2,". > <","A because C",0.0523467392402063
2,". . <","A because C",0.0584552237023138
2,". > >","A because C",0.0464027447161138
2,"> . >","A because C",0.0407207653729926
2,". . >","A because C",0.0453997508655779
2,". < .","C because B",0.0433416024329633
2,". < .","B because C",0.0577635009604294
