"story.number","actual.world","explanation","model"
2,". > .","A because B",0.367170521207816
2,"> > .","A because B",0.536324414499588
2,"< > .","A because B",0.598383012312851
2,". > .","B because A",0.367170521207813
2,"> > .","B because A",0.598383012312853
2,"< > .","B because A",0.53632441449959
2,"> . .","C because B",0.35292318084426
2,"> > .","C because B",0.590105741870571
2,"> < .","C because B",0.532563031540235
2,"> . .","B because C",0.425042153612192
2,"> > .","B because C",0.551682941334587
2,"> < .","B because C",0.425042153612186
2,"> > .","C because A",0.598192743064737
2,". . .","C because A",0.366986591328625
2,". > .","C because A",0.425332407997776
2,"> . .","C because A",0.366986591328599
2,"> . <","C because A",0.536127536254183
2,". > <","C because A",0.551976652382647
2,". . <","C because A",0.536127536254157
2,". > >","C because A",0.425332407997744
2,"> . >","C because A",0.598192743064737
2,". . >","C because A",0.598192743064737
2,"> > .","A because C",0.489268125064958
2,". . .","A because C",0.368494247523416
2,". > .","A because C",0.362115898929118
2,"> . .","A because C",0.368494247523407
2,"> . <","A because C",0.599750310836174
2,". > <","A because C",0.599750310836174
2,". . <","A because C",0.599750310836174
2,". > >","A because C",0.542511880008286
2,"> . >","A because C",0.537739775351448
2,". . >","A because C",0.537739775351435
2,". < .","C because B",0.527777481187062
2,". < .","B because C",0.597907259123816
