"story.number","actual.world","explanation","model"
2,". > .","A because B",0.442786446460352
2,"> > .","A because B",0.494935581954036
2,"< > .","A because B",0.51248411683324
2,". > .","B because A",0.442780808309063
2,"> > .","B because A",0.512478407431461
2,"< > .","B because A",0.494929869579125
2,"> . .","C because B",0.428545385458324
2,"> > .","C because B",0.511287149676329
2,"> < .","C because B",0.493834032520899
2,"> . .","B because C",0.461880603947979
2,"> > .","B because C",0.507025014009876
2,"> < .","B because C",0.469953207296858
2,"> > .","C because A",0.513233477336048
2,". . .","C because A",0.443526611223758
2,". > .","C because A",0.452735140751187
2,"> . .","C because A",0.443526611223758
2,"> . <","C because A",0.495685372445886
2,". > <","C because A",0.497812596334114
2,". . <","C because A",0.495685372445885
2,". > >","C because A",0.460784772834482
2,"> . >","C because A",0.513233477336048
2,". . >","C because A",0.513233477336048
2,"> > .","A because C",0.482148566503722
2,". . .","A because C",0.446529331064943
2,". > .","A because C",0.433437317596938
2,"> . .","A because C",0.446529331064943
2,"> . <","A because C",0.516270291792841
2,". > <","A because C",0.516270291792841
2,". . <","A because C",0.51627029179284
2,". > >","A because C",0.498820692801619
2,"> . >","A because C",0.498724737718843
2,". . >","A because C",0.498724737718843
2,". < .","C because B",0.493738091680552
2,". < .","B because C",0.522434389353166
