"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0379925821024211
2,"> > .","A because B",0.0464405567739924
2,"< > .","A because B",0.0496504030148611
2,". > .","B because A",0.0379925821024211
2,"> > .","B because A",0.0496504030148611
2,"< > .","B because A",0.0464405567739924
2,"> . .","C because B",0.0358601316881422
2,"> > .","C because B",0.0493285478655
2,"> < .","C because B",0.0461553939103707
2,"> . .","B because C",0.0408934159769433
2,"> > .","B because C",0.0486071145407182
2,"> < .","B because C",0.0421849466543917
2,"> > .","C because A",0.0497762206066827
2,". . .","C because A",0.0380900419947635
2,". > .","C because A",0.0394780494093816
2,"> . .","C because A",0.0380900419947635
2,"> . <","C because A",0.0465586388831556
2,". > <","C because A",0.0469378340454793
2,". . <","C because A",0.0465586388831556
2,". > >","C because A",0.0407267769376557
2,"> . >","C because A",0.0497762206066827
2,". . >","C because A",0.0497762206066828
2,"> > .","A because C",0.0442338914373493
2,". . .","A because C",0.0385572997495237
2,". > .","A because C",0.0366350671794803
2,"> . .","A because C",0.0385572997495237
2,"> . <","A because C",0.0503793267317368
2,". > <","A because C",0.0503793267317368
2,". . <","A because C",0.0503793267317369
2,". > >","A because C",0.0471419312228275
2,"> . >","A because C",0.0471246930713416
2,". . >","A because C",0.0471246930713415
2,". < .","C because B",0.0461384990334391
2,". < .","B because C",0.0515409855232962
