"story.number","actual.world","explanation","model"
2,". > .","A because B",0.0470003509073907
2,"> > .","A because B",0.286297776789125
2,"< > .","A because B",0.447350583875413
2,". > .","B because A",0.0470003509073907
2,"> > .","B because A",0.447350583875413
2,"< > .","B because A",0.286297776789125
2,"> . .","C because B",0.0263585726155081
2,"> > .","C because B",0.430502154688074
2,"> < .","C because B",0.273285515520255
2,"> . .","B because C",0.0959134772598012
2,"> > .","B because C",0.393000009022239
2,"> < .","B because C",0.127966448216772
2,"> > .","C because A",0.453943774886895
2,". . .","C because A",0.0482077575146166
2,". > .","C because A",0.0684677824905669
2,"> . .","C because A",0.0482077575146162
2,"> . <","C because A",0.291770484884586
2,". > <","C because A",0.309660268764381
2,". . <","C because A",0.291770484884583
2,". > >","C because A",0.0922850112543675
2,"> . >","C because A",0.453943774886895
2,". . >","C because A",0.453943774886897
2,"> > .","A because C",0.194134325931666
2,". . .","A because C",0.0543698133420389
2,". > .","A because C",0.0326912235838292
2,"> . .","A because C",0.0543698133420401
2,"> . <","A because C",0.485512994504831
2,". > <","A because C",0.485512994504831
2,". . <","A because C",0.485512994504836
2,". > >","A because C",0.319476605375688
2,"> . >","A because C",0.31864271037962
2,". . >","A because C",0.318642710379615
2,". < .","C because B",0.2725239053395
2,". < .","B because C",0.545434401424937
