"story.number","actual.world","explanation","model"
2,". > .","A because B",0.223500892096273
2,"> > .","A because B",0.364600575986149
2,"< > .","A because B",0.425001851970956
2,". > .","B because A",0.223500892096271
2,"> > .","B because A",0.425001851970958
2,"< > .","B because A",0.36460057598615
2,"> . .","C because B",0.213178221330207
2,"> > .","C because B",0.416962284854798
2,"> < .","C because B",0.361416391334909
2,"> . .","B because C",0.268931331258308
2,"> > .","B because C",0.379782819822344
2,"> < .","B because C",0.268931331258304
2,"> > .","C because A",0.425107739540182
2,". . .","C because A",0.223576096946778
2,". > .","C because A",0.268803563073818
2,"> . .","C because A",0.22357609694676
2,"> . <","C because A",0.364700959696502
2,". > <","C because A",0.379629734503125
2,". . <","C because A",0.364700959696481
2,". > >","C because A",0.268803563073794
2,"> . >","C because A",0.425107739540182
2,". . >","C because A",0.425107739540182
2,"> > .","A because C",0.322272514608598
2,". . .","A because C",0.224593445702185
2,". > .","A because C",0.219838810730481
2,"> . .","A because C",0.224593445702179
2,"> . <","A because C",0.426538340194807
2,". > <","A because C",0.426538340194807
2,". . <","A because C",0.426538340194807
2,". > >","A because C",0.370527476559826
2,"> . >","A because C",0.366057715372135
2,". . >","A because C",0.366057715372121
2,". < .","C because B",0.356994206284738
2,". < .","B because C",0.42526659238061
